Lead,x1,Code,x2,Name,x3,Short description,x4,Source of tag,x5,Note,Trail
{ 254,", new TiffTagInfo {IdInteger =",254,", IdString = """,NewSubfileType,""", ShortDescription = """,A general indication of the kind of data contained in this subfile.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Usage rule in JHOVE TIFF module.,""" } },"
{ 255,", new TiffTagInfo {IdInteger =",255,", IdString = """,SubfileType,""", ShortDescription = """,A general indication of the kind of data contained in this subfile.,""" , SourceOfTag = "" ",Baseline,""" , Note = """, ,""" } },"
{ 256,", new TiffTagInfo {IdInteger =",256,", IdString = """,ImageWidth,""", ShortDescription = ""","The number of columns in the image, i.e., the number of pixels per row.",""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Mandatory for TIFF 6.0 classes B, G, P, R, and Y.1",""" } },"
{ 257,", new TiffTagInfo {IdInteger =",257,", IdString = """,ImageLength,""", ShortDescription = """,The number of rows of pixels in the image.,""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Mandatory for TIFF 6.0 classes B, G, P, R, and Y.1",""" } },"
{ 258,", new TiffTagInfo {IdInteger =",258,", IdString = """,BitsPerSample,""", ShortDescription = """,Number of bits per component.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,,""" } },"
{ 259,", new TiffTagInfo {IdInteger =",259,", IdString = """,Compression,""", ShortDescription = """,Compression scheme used on the image data.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Sample values: 1=uncompressed and 4=CCITT Group 4.,""" } },"
{ 262,", new TiffTagInfo {IdInteger =",262,", IdString = """,PhotometricInterpretation,""", ShortDescription = """,The color space of the image data.,""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Sample values: 1=black is zero and 2=RGB. Document also states ""RGB is assumed to be sRGB; if RGB, an ICC profile should be present in the 34675 tag.""",""" } },"
{ 263,", new TiffTagInfo {IdInteger =",263,", IdString = """,Threshholding,""", ShortDescription = ""","For black and white TIFF files that represent shades of gray, the technique used to convert from gray to black and white pixels.",""" , SourceOfTag = "" ",Baseline,""" , Note = """,Usage rule in JHOVE TIFF module.,""" } },"
{ 264,", new TiffTagInfo {IdInteger =",264,", IdString = """,CellWidth,""", ShortDescription = """,The width of the dithering or halftoning matrix used to create a dithered or halftoned bilevel file.,""" , SourceOfTag = "" ",Baseline,""" , Note = """, ,""" } },"
{ 265,", new TiffTagInfo {IdInteger =",265,", IdString = """,CellLength,""", ShortDescription = """,The length of the dithering or halftoning matrix used to create a dithered or halftoned bilevel file.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Usage rule in JHOVE TIFF module.,""" } },"
{ 266,", new TiffTagInfo {IdInteger =",266,", IdString = """,FillOrder,""", ShortDescription = """,The logical order of bits within a byte.,""" , SourceOfTag = "" ",Baseline,""" , Note = """, ,""" } },"
{ 269,", new TiffTagInfo {IdInteger =",269,", IdString = """,DocumentName,""", ShortDescription = """,The name of the document from which this image was scanned.,""" , SourceOfTag = "" ",Extended,""" , Note = """,Also used by HD Photo.,""" } },"
{ 270,", new TiffTagInfo {IdInteger =",270,", IdString = """,ImageDescription,""", ShortDescription = """,A string that describes the subject of the image.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Also used by HD Photo,""" } },"
{ 271,", new TiffTagInfo {IdInteger =",271,", IdString = """,Make,""", ShortDescription = """,The scanner manufacturer.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Also used by HD Photo.,""" } },"
{ 272,", new TiffTagInfo {IdInteger =",272,", IdString = """,Model,""", ShortDescription = """,The scanner model name or number.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Also used by HD Photo.,""" } },"
{ 273,", new TiffTagInfo {IdInteger =",273,", IdString = """,StripOffsets,""", ShortDescription = ""","For each strip, the byte offset of that strip.",""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Mandatory for TIFF 6.0 classes B, G, P, R, and Y.1 (Files outside of these classes may use tiles and tags 322, 323, 324, and 325; Comments welcome.)",""" } },"
{ 274,", new TiffTagInfo {IdInteger =",274,", IdString = """,Orientation,""", ShortDescription = """,The orientation of the image with respect to the rows and columns.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Mandatory for TIFF/EP.,""" } },"
{ 277,", new TiffTagInfo {IdInteger =",277,", IdString = """,SamplesPerPixel,""", ShortDescription = """,The number of components per pixel.,""" , SourceOfTag = "" ",Baseline,""" , Note = """,Mandatory for TIFF 6.0 classes R and Y.1,""" } },"
{ 278,", new TiffTagInfo {IdInteger =",278,", IdString = """,RowsPerStrip,""", ShortDescription = """,The number of rows per strip.,""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Mandatory for TIFF 6.0 classes B, G, P, R, and Y.1 (Files outside of these classes may use tiles and tags 322, 323, 324, and 325; Comments welcome.)",""" } },"
{ 279,", new TiffTagInfo {IdInteger =",279,", IdString = """,StripByteCounts,""", ShortDescription = ""","For each strip, the number of bytes in the strip after compression.",""" , SourceOfTag = "" ",Baseline,""" , Note = ""","Mandatory for TIFF 6.0 classes B, G, P, R, and Y.1 (Files outside of these classes may use tiles and tags 322, 323, 324, and 325; Comments welcome.)",""" } },"
{ 280,", new TiffTagInfo {IdInteger =",280,", IdString = """,MinSampleValue,""", ShortDescription = """,The minimum component value used.,""" , SourceOfTag = "" ",Baseline,""" , Note = """, ,""" } },"
{ 281,", new TiffTagInfo {IdInteger =",281,", IdString = """,MaxSampleValue,""", ShortDescription = """,The maximum component value used.,""" , SourceOfTag = "" ",Baseline,""" , Note = """, ,""" } },"
